geo,iso3,year,learning,learning_percentile,ef_percentile,gap_pct
BA,BIH,2020,90.72,0.4666666666666667,,
CY,CYP,2020,99.1,0.8666666666666667,0.4,-0.4666666666666667
CZ,CZE,2020,92.36,0.5,0.43333333333333335,-0.06666666666666665
DE,DEU,2020,72.36,0.2,0.8333333333333334,0.6333333333333333
DK,DNK,2020,66.88,0.13333333333333333,0.9,0.7666666666666667
ES,ESP,2020,84.88,0.36666666666666664,0.26666666666666666,-0.09999999999999998
EE,EST,2020,80.92,0.3,0.5666666666666667,0.26666666666666666
FI,FIN,2020,94.84,0.6666666666666666,0.7333333333333333,0.06666666666666665
FR,FRA,2020,98.36,0.8,0.06666666666666667,-0.7333333333333334
HR,HRV,2020,94.52000000000001,0.6333333333333333,0.9333333333333333,0.30000000000000004
HU,HUN,2020,71.74,0.16666666666666666,0.6333333333333333,0.4666666666666667
IS,ISL,2020,87.4,0.43333333333333335,,
IT,ITA,2020,95.32000000000001,0.7,0.1,-0.6
LI,LIE,2020,100.0,0.9833333333333333,,
LT,LTU,2020,82.03999999999999,0.3333333333333333,0.5,0.16666666666666669
LU,LUX,2020,63.64,0.03333333333333333,0.5333333333333333,0.5
LV,LVA,2020,93.67999999999999,0.5666666666666667,,
MK,MKD,2020,99.95,0.9333333333333333,,
MT,MLT,2020,100.0,0.9833333333333333,,
NL,NLD,2020,78.14,0.26666666666666666,1.0,0.7333333333333334
NO,NOR,2020,64.38,0.06666666666666667,0.9666666666666667,0.9
PL,POL,2020,97.12,0.7333333333333333,0.7,-0.033333333333333326
PT,PRT,2020,73.64,0.23333333333333334,,
RO,ROU,2020,97.34,0.7666666666666667,0.8,0.033333333333333326
SK,SVK,2020,92.94,0.5333333333333333,0.6,0.06666666666666665
SI,SVN,2020,94.12,0.6,,
SE,SWE,2020,98.9,0.8333333333333334,,
AT,AUT,2021,99.36,0.8928571428571429,,
BE,BEL,2021,65.26,0.07142857142857142,,
BG,BGR,2021,87.8,0.42857142857142855,,
CY,CYP,2021,98.52000000000001,0.7857142857142857,,
CZ,CZE,2021,92.58,0.4642857142857143,,
DE,DEU,2021,72.12,0.17857142857142858,,
DK,DNK,2021,65.64,0.14285714285714285,,
ES,ESP,2021,84.72,0.39285714285714285,,
EE,EST,2021,79.8,0.32142857142857145,,
FI,FIN,2021,95.72,0.6428571428571429,,
FR,FRA,2021,98.24000000000001,0.75,,
HR,HRV,2021,94.84,0.6071428571428571,,
HU,HUN,2021,73.17999999999999,0.21428571428571427,,
IT,ITA,2021,99.06,0.8571428571428571,,
LI,LIE,2021,100.0,0.9642857142857143,,
LT,LTU,2021,82.64,0.35714285714285715,,
LU,LUX,2021,64.4,0.03571428571428571,,
LV,LVA,2021,93.16,0.5,,
MK,MKD,2021,100.0,0.9642857142857143,,
MT,MLT,2021,100.0,0.9642857142857143,,
NL,NLD,2021,78.3,0.2857142857142857,,
NO,NOR,2021,65.52000000000001,0.10714285714285714,,
PL,POL,2021,96.4,0.6785714285714286,,
PT,PRT,2021,76.6,0.25,,
RO,ROU,2021,97.28,0.7142857142857143,,
SK,SVK,2021,94.3,0.5714285714285714,,
SI,SVN,2021,93.42,0.5357142857142857,,
SE,SWE,2021,98.92,0.8214285714285714,,
AT,AUT,2022,98.84,0.84375,,
BE,BEL,2022,66.82000000000001,0.15625,,
BG,BGR,2022,83.14000000000001,0.375,,
BA,BIH,2022,91.67999999999999,0.5,,
CY,CYP,2022,98.97999999999999,0.90625,,
CZ,CZE,2022,92.76,0.53125,,
DE,DEU,2022,72.47999999999999,0.21875,,
